id,name,card_type,color,cost,life,effect,type,counter,power,attribute,block,collection_name,collection_id,trigger,trigger_effect
OP01-063,Arlong,Character,Blue,4,NULL,"[DON!! x1] [Activate: Main] You may rest this Character: Choose 1 card from your opponent's hand; your opponent reveals that card. If the revealed card is an Event, place up to 1 card from your opponent's Life area at the bottom of the owner's deck.",Fish-Man/Arlong Pirates,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-064,Alvida,Character,Blue,2,NULL,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Return up to 1 of your opponent's Characters with a cost of 3 or less to the owner's hand.,Buggy Pirates,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-065,Vergo,Character,Blue,5,NULL,,Navy/Donquixote Pirates/Punk Hazard,NULL,7000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-066,Krieg,Character,Blue,4,NULL,,Krieg Pirates,NULL,6000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-067,Crocodile,Character,Blue,7,NULL,"[Banish] (When this card deals damage, the target card is trashed without activating its Trigger.) || [DON!! x1] Give blue Events in your hand −1 cost.",The Seven Warlords of the Sea/Baroque Works,NULL,7000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-068,Gecko Moria,Character,Blue,4,NULL,[Your Turn] This Character gains [Double Attack] if you have 5 or more cards in your hand. || (This card deals 2 damage.),The Seven Warlords of the Sea/Thriller Bark Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-069,Caesar Clown,Character,Blue,4,NULL,"[On K.O.] Play up to 1 [Smiley] from your deck, then shuffle your deck.",Scientist/Punk Hazard,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-070,Dracule Mihawk,Character,Blue,9,NULL,[On Play] Place up to 1 Character with a cost of 7 or less at the bottom of the owner's deck.,The Seven Warlords of the Sea,NULL,9000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-071,Jinbe,Character,Blue,4,NULL,[On Play] Place up to 1 Character with a cost of 3 or less at the bottom of the owner's deck. ||  || [Trigger] Play this card.,Fish-Man/Straw Hat Crew,NULL,2000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-072,Smiley,Character,Blue,3,NULL,[DON!! x1] [Your Turn] This Character gains +1000 power for every card in your hand.,Biological Weapon/Punk Hazard,NULL,1000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-073,Donquixote Doflamingo,Character,Blue,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.",The Seven Warlords of the Sea/Donquixote Pirates,NULL,4000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-074,Bartholomew Kuma,Character,Blue,4,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On K.O.] Play up to 1 [Pacifista] with a cost of 4 or less from your hand.",The Seven Warlords of the Sea/Revolutionary Army,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-075,Pacifista,Character,Blue,4,NULL,"Under the rules of this game, you may have any number of this card in your deck. || [Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Biological Weapon/Navy,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-076,Bellamy,Character,Blue,2,NULL,,Dressrosa,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-077,Perona,Character,Blue,1,NULL,[On Play] Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.,Thriller Bark Pirates,NULL,2000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-078,Boa Hancock,Character,Blue,4,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [DON!! x1] [When Attacking]/[On Block] Draw 1 card if you have 5 or less cards in your hand.",The Seven Warlords of the Sea/Kuja Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-079,Ms. All Sunday,Character,Blue,3,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On K.O.] If your Leader has the {Baroque Works} type, add up to 1 Event from your trash to your hand.",Baroque Works,NULL,1000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-080,Miss Doublefinger(Zala),Character,Blue,3,NULL,[On K.O.] Draw 1 card.,Baroque Works,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-081,Mocha,Character,Blue,3,NULL,,Punk Hazard,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-082,Monet,Character,Blue,2,NULL,,Donquixote Pirates/Punk Hazard,NULL,3000,Special,Block 1,Romance Dawn,OP01,True,Play this card.
OP01-083,Mr.1(Daz.Bonez),Character,Blue,2,NULL,"[DON!! x1] [Your Turn] If your Leader has the {Baroque Works} type, this Character gains +1000 power for every 2 Events in your trash.",Baroque Works,NULL,3000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-084,Mr.2.Bon.Kurei(Bentham),Character,Blue,3,NULL,"[DON!! x1] [When Attacking] Look at 5 cards from the top of your deck; reveal up to 1 {Baroque Works} type Event card and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Baroque Works,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-085,Mr.3(Galdino),Character,Blue,2,NULL,"[On Play] If your Leader has the {Baroque Works} type, select up to 1 of your opponent's Characters with a cost of 4 or less. The selected Character cannot attack until the end of your opponent's next turn.",Baroque Works,NULL,3000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-086,Overheat,Event,Blue,2,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +4000 power during this battle. Then, return up to 1 active Character with a cost of 3 or less to the owner's hand.",The Seven Warlords of the Sea/Donquixote Pirates,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Return up to 1 Character with a cost of 4 or less to the owner's hand.
OP01-087,Officer Agents,Event,Blue,2,NULL,[Counter] Play up to 1 {Baroque Works} type Character card with a cost of 3 or less from your hand.,Baroque Works,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Activate this card's [Counter] effect.
OP01-088,Desert Spada,Event,Blue,1,NULL,"[Counter] Up to 1 of your Leader or Character cards gains +2000 power during this battle. Then, look at 3 cards from the top of your deck and place them at the top or bottom of the deck in any order.",The Seven Warlords of the Sea/Baroque Works,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,True,Draw 2 cards and trash 1 card from your hand.
OP01-089,Crescent Cutlass,Event,Blue,3,NULL,"[Counter] If your Leader has the {The Seven Warlords of the Sea} type, return up to 1 Character with a cost of 5 or less to the owner's hand.",The Seven Warlords of the Sea/Baroque Works,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-090,Baroque Works,Event,Blue,1,NULL,"[Main] Look at 5 cards from the top of your deck; reveal up to 1 {Baroque Works} type card other than [Baroque Works] and add it to your hand. Then, place the rest at the bottom of your deck in any order.",Baroque Works,NULL,NULL,NULL,Block 1,Romance Dawn,OP01,False,NULL
OP01-091,King,Leader,Purple,NULL,5,"[Your Turn] If you have 10 DON!! cards on your field, give all of your opponent's Characters −1000 power.",Animal Kingdom Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-092,Urashima,Character,Purple,7,NULL,,Land of Wano,NULL,9000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-093,Ulti,Character,Purple,2,NULL,[On Play] ① (You may rest the specified number of DON!! cards in your cost area.): Add up to 1 DON!! card from your DON!! deck and rest it.,Animal Kingdom Pirates,NULL,3000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-094,Kaido,Character,Purple,0,NULL,"[On Play] DON!! −6 (You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the {Animal Kingdom Pirates} type, K.O. all Characters other than this Character.",The Four Emperors/Animal Kingdom Pirates,NULL,12000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-095,Kyoshirou,Character,Purple,5,NULL,[On Play] Draw 1 card if you have 8 or more DON!! cards on your field.,Land of Wano,NULL,6000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-096,King,Character,Purple,7,NULL,[On Play] DON!! −2 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 3 or less and up to 1 of your opponent's Characters with a cost of 2 or less.,Animal Kingdom Pirates,NULL,7000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-097,Queen,Character,Purple,6,NULL,"[On Play] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains [Rush] during this turn. Then, give up to 1 of your opponent's Characters −2000 power during this turn. || (This card can attack on the turn in which it is played.)",Animal Kingdom Pirates,NULL,5000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-098,Kurozumi Orochi,Character,Purple,1,NULL,"[On Play] Reveal up to 1 [Artificial Devil Fruit SMILE] from your deck and add it to your hand. Then, shuffle your deck.",Land of Wano/Kurozumi Clan,NULL,2000,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-099,Kurozumi Semimaru,Character,Purple,2,NULL,{Kurozumi Clan} type Characters other than your [Kurozumi Semimaru] cannot be K.O.'d in battle.,Land of Wano/Kurozumi Clan,NULL,3000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-100,Kurozumi Higurashi,Character,Purple,2,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Land of Wano/Kurozumi Clan,NULL,3000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-101,Sasaki,Character,Purple,3,NULL,[DON!! x1] [When Attacking] You may trash 1 card from your hand: Add up to 1 DON!! card from your DON!! deck and rest it.,Animal Kingdom Pirates,NULL,4000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-102,Jack,Character,Purple,3,NULL,[When Attacking] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): Your opponent trashes 1 card from their hand.,Animal Kingdom Pirates,NULL,4000,Strike,Block 1,Romance Dawn,OP01,False,NULL
OP01-103,Scratchmen Apoo,Character,Purple,4,NULL,,Animal Kingdom Pirates/On-Air Pirates,NULL,6000,Ranged,Block 1,Romance Dawn,OP01,False,NULL
OP01-104,Speed,Character,Purple,2,NULL,,Animal Kingdom Pirates/SMILE,NULL,3000,Strike,Block 1,Romance Dawn,OP01,True,Play this card.
OP01-105,Bao Huang,Character,Purple,2,NULL,[On Play] Choose 2 cards from your opponent's hand; your opponent reveals those cards.,Animal Kingdom Pirates/SMILE,NULL,3000,Wisdom,Block 1,Romance Dawn,OP01,False,NULL
OP01-106,Basil Hawkins,Character,Purple,4,NULL,[On Play] Add up to 1 DON!! card from your DON!! deck and rest it. ||  || [Trigger] Play this card.,Animal Kingdom Pirates/Hawkins Pirates,NULL,2000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-107,Babanuki,Character,Purple,5,NULL,,Animal Kingdom Pirates/SMILE,NULL,7000,Ranged,Block 1,Romance Dawn,OP01,False,NULL
OP01-108,Hitokiri Kamazo,Character,Purple,4,NULL,[On K.O.] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Supernovas/Kid Pirates/SMILE,NULL,5000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-109,Who's.Who,Character,Purple,2,NULL,"[DON!! x1] [Your Turn] If you have 8 or more DON!! cards on your field, this Character gains +1000 power.",Animal Kingdom Pirates,NULL,3000,Slash,Block 1,Romance Dawn,OP01,False,NULL
OP01-110,Fukurokuju,Character,Purple,6,NULL,,Land of Wano/Animal Kingdom Pirates,NULL,8000,Special,Block 1,Romance Dawn,OP01,False,NULL
OP01-111,Black Maria,Character,Purple,4,NULL,"[Blocker] (After your opponent declares an attack, you may rest this card to make it the new target of the attack.) || [On Block] DON!! −1 (You may return the specified number of DON!! cards from your field to your DON!! deck.): This Character gains +1000 power during this turn.",Animal Kingdom Pirates,NULL,5000,Special,Block 1,Romance Dawn,OP01,False,NULL
